"Route Name","Driver Name","Zone","Ward","Vehicle No","Route Type","Delete","Download","View Route","Edit"
"W63R1","n/a","1-City","63-Maliyaan Sadar","M191 UP85AG0948","doorToDoor","undefined","undefined","undefined","undefined"
"W63R2","n/a","1-City","63-Maliyaan Sadar","M180 UP85AG0685","doorToDoor","undefined","undefined","undefined","undefined"
"W23R1","n/a","1-City","23-Aheer Pada","M072   UP85AG0803","doorToDoor","undefined","undefined","undefined","undefined"
"W45R5","n/a","2-Bhuteswar","45-Birla Mandir","M058 UP85AG0950","doorToDoor","undefined","undefined","undefined","undefined"
"W45R1","n/a","2-Bhuteswar","45-Birla Mandir","M058 UP85AG0950","doorToDoor","undefined","undefined","undefined","undefined"
"W45R4","n/a","2-Bhuteswar","45-Birla Mandir","M064 UP85AG0673","doorToDoor","undefined","undefined","undefined","undefined"
"W45R3","n/a","2-Bhuteswar","45-Birla Mandir","M064 UP85AG0673","doorToDoor","undefined","undefined","undefined","undefined"
"W36R2","n/a","2-Bhuteswar","36-Jaisingh Pura","M019 UP14PT7945","doorToDoor","undefined","undefined","undefined","undefined"
"W7R1","n/a","1-City","07-Lohvan","M259 UP85ET 7852","doorToDoor","undefined","undefined","undefined","undefined"
"W7MR1","n/a","1-City","07-Lohvan","MR005-70145768","doorToDoor","undefined","undefined","undefined","undefined"
"W53MR1","n/a","1-City","53-Krishna puri","MR044-70147541","doorToDoor","undefined","undefined","undefined","undefined"
"W21R5","n/a","4-Vrindavan","21-Chaitanya Bihar","M022 UP14PT7993_C","doorToDoor","undefined","undefined","undefined","undefined"
"W51R1","n/a","4-Vrindavan","51-Gaushala Nagar","M098   UP85AGT0956","doorToDoor","undefined","undefined","undefined","undefined"
"W51R4","n/a","4-Vrindavan","51-Gaushala Nagar","M244 UP85AG0789_C","doorToDoor","undefined","undefined","undefined","undefined"
"W51R3","n/a","4-Vrindavan","51-Gaushala Nagar","M244 UP85AG0789_C","doorToDoor","undefined","undefined","undefined","undefined"
"W34R1","n/a","4-Vrindavan","34-Radhaniwas","UP85ET 7856","doorToDoor","undefined","undefined","undefined","undefined"
"W34R3","n/a","4-Vrindavan","34-Radhaniwas","DL51GD9456","doorToDoor","undefined","undefined","undefined","undefined"
"W19R1","n/a","1-City","19-Ramnagar Yamunapar","M023 UP14PT7726","doorToDoor","undefined","undefined","undefined","undefined"
"W58R2","n/a","2-Bhuteswar","58-Gau Ghat","M183 UP85AG0912(ER)","doorToDoor","undefined","undefined","undefined","undefined"
"W7R2","n/a","1-City","07-Lohvan","UP14PT7749","doorToDoor","undefined","undefined","undefined","undefined"
"W70R1","n/a","4-Vrindavan","70-Biharipur","M260 UP85ET 7859","doorToDoor","undefined","undefined","undefined","undefined"
"W70WBR1","n/a","4-Vrindavan","70-Biharipur","MR009-70145685","doorToDoor","undefined","undefined","undefined","undefined"
"W70MR1","n/a","4-Vrindavan","70-Biharipur","MR031-70147434","doorToDoor","undefined","undefined","undefined","undefined"
"W70MR2","n/a","4-Vrindavan","70-Biharipur","MR026-70147715","doorToDoor","undefined","undefined","undefined","undefined"
"W70WBR2","n/a","4-Vrindavan","70-Biharipur","MR043-70144902","doorToDoor","undefined","undefined","undefined","undefined"
"W39R3","n/a","2-Bhuteswar","39-Mahavidhya Colony","M142 UP85ET 7844","doorToDoor","undefined","undefined","undefined","undefined"
"W39R2","n/a","2-Bhuteswar","39-Mahavidhya Colony","M095    UP85AG0788","doorToDoor","undefined","undefined","undefined","undefined"
"W39R1","n/a","2-Bhuteswar","39-Mahavidhya Colony","M056 UP85AG0963","doorToDoor","undefined","undefined","undefined","undefined"
"W67R4","n/a","4-Vrindavan","67-Kemar Van","M196 DL51GD9113_C","doorToDoor","undefined","undefined","undefined","undefined"
"W62R1","n/a","4-Vrindavan","62-Mathura Darwaza","M261 CH55684","doorToDoor","undefined","undefined","undefined","undefined"
"W27R4","n/a","3-Aurangabad","27-Baad","M243 UP85ET 7836_C","doorToDoor","undefined","undefined","undefined","undefined"
"W27R3","n/a","3-Aurangabad","27-Baad","M220 UP14PT7715","doorToDoor","undefined","undefined","undefined","undefined"
"W27R1","n/a","3-Aurangabad","27-Baad","M179 UP85AG0720_C","doorToDoor","undefined","undefined","undefined","undefined"
"W27R2","n/a","3-Aurangabad","27-Baad","M275 UP85AG7863","doorToDoor","undefined","undefined","undefined","undefined"
"W34R5","n/a","4-Vrindavan","34-Radhaniwas","M265 UP14PT8095","doorToDoor","undefined","undefined","undefined","undefined"
"W34R4","n/a","4-Vrindavan","34-Radhaniwas","UP85ET 7856","doorToDoor","undefined","undefined","undefined","undefined"
"W25R1","n/a","4-Vrindavan","25-Chharaura","M106   UP85AGT0964","doorToDoor","undefined","undefined","undefined","undefined"
"W21R2","n/a","4-Vrindavan","21-Chaitanya Bihar","M269 UP85ET 7841","doorToDoor","undefined","undefined","undefined","undefined"
"W21R4","n/a","4-Vrindavan","21-Chaitanya Bihar","M114    UP85AGT0957","doorToDoor","undefined","undefined","undefined","undefined"
"W13R4","n/a","4-Vrindavan","13-Sunrakh","UP85ET7858","doorToDoor","undefined","undefined","undefined","undefined"
"W13R3","n/a","4-Vrindavan","13-Sunrakh","M113   UP85AGT0966","doorToDoor","undefined","undefined","undefined","undefined"
"W13R1","n/a","4-Vrindavan","13-Sunrakh","M113   UP85AGT0966","doorToDoor","undefined","undefined","undefined","undefined"
"W56R4_COMMERCIAL","n/a","2-Bhuteswar","56-Mandi Randas","UP14PT7752","doorToDoor","undefined","undefined","undefined","undefined"
"W56R1_COMMERCIAL","n/a","2-Bhuteswar","56-Mandi Randas","UP85AG0767","doorToDoor","undefined","undefined","undefined","undefined"
"W6R3","","3-Aurangabad","06-Aduki","M273 UP85ET 7846","doorToDoor","undefined","undefined","undefined","undefined"
"W59R3","n/a","3-Aurangabad","59-Maholi Second","UP85AG0777","doorToDoor","undefined","undefined","undefined","undefined"
"W1R3","n/a","3-Aurangabad","01-Birjapur","M273 UP85ET 7846","doorToDoor","undefined","undefined","undefined","undefined"
"W1R1","n/a","3-Aurangabad","01-Birjapur","M108    UP85AG0796","doorToDoor","undefined","undefined","undefined","undefined"
"W1R2","n/a","3-Aurangabad","01-Birjapur","M014 UP14PT7936","doorToDoor","undefined","undefined","undefined","undefined"
"W12ER3","n/a","2-Bhuteswar","12-Radhe Shyam Colony","DL51GD9539","doorToDoor","undefined","undefined","undefined","undefined"
"W64R1","n/a","1-City","64-Ghati Bahalray","M177 UP85AG0793_C","doorToDoor","undefined","undefined","undefined","undefined"
"W34R6","n/a","4-Vrindavan","34-Radhaniwas","DL51GD9456","doorToDoor","undefined","undefined","undefined","undefined"
"W34R2","n/a","4-Vrindavan","34-Radhaniwas","M265 UP14PT8095","doorToDoor","undefined","undefined","undefined","undefined"
"W21R9","n/a","4-Vrindavan","21-Chaitanya Bihar","M277 UP85ET 7842","doorToDoor","undefined","undefined","undefined","undefined"
"W21R1","n/a","4-Vrindavan","21-Chaitanya Bihar","M277 UP85ET 7842","doorToDoor","undefined","undefined","undefined","undefined"
"W33R3","n/a","3-Aurangabad","33-Palikhera","M233 UP85ET 7835","doorToDoor","undefined","undefined","undefined","undefined"
"W33R2","n/a","3-Aurangabad","33-Palikhera","M076  UP85AG0779","doorToDoor","undefined","undefined","undefined","undefined"
"W33R1","n/a","3-Aurangabad","33-Palikhera","M226 UP85AG0969","doorToDoor","undefined","undefined","undefined","undefined"
"W13R2","n/a","4-Vrindavan","13-Sunrakh","M200 UP85AG0968","doorToDoor","undefined","undefined","undefined","undefined"
"W21R8","n/a","4-Vrindavan","21-Chaitanya Bihar","M222 UP85AG0952","doorToDoor","undefined","undefined","undefined","undefined"
"W67R1","n/a","4-Vrindavan","67-Kemar Van","M219 UP85AG0962","doorToDoor","undefined","undefined","undefined","undefined"
"W25R2","n/a","4-Vrindavan","25-Chharaura","M267 UP85ET 7855","doorToDoor","undefined","undefined","undefined","undefined"
"W21R7","n/a","4-Vrindavan","21-Chaitanya Bihar","M106   UP85AGT0964","doorToDoor","undefined","undefined","undefined","undefined"
"W15R2","n/a","3-Aurangabad","15-Maholi First","M057 UP85AG0774","doorToDoor","undefined","undefined","undefined","undefined"
"W8R2","n/a","4-Vrindavan","08-Atas","M263 UP85ET 7862","doorToDoor","undefined","undefined","undefined","undefined"
"W57R3","n/a","3-Aurangabad","57-Balajipuram","M201 UP85AG0755","doorToDoor","undefined","undefined","undefined","undefined"
"W49R1","n/a","1-City","49-Daimpiriyal Nagar","M051 UP85AG0892","doorToDoor","undefined","undefined","undefined","undefined"
"W44R3","n/a","2-Bhuteswar","44-Radhika Bihar","DL51GD9539","doorToDoor","undefined","undefined","undefined","undefined"
"W54R3","n/a","2-Bhuteswar","54-Pratap Nagar","M231 UP85ET 7837","doorToDoor","undefined","undefined","undefined","undefined"
"W66R2","n/a","4-Vrindavan","66-Keshighat","M028 UP85AG55681_C","doorToDoor","undefined","undefined","undefined","undefined"
"W69R2","n/a","4-Vrindavan","69-Ratan Chhatri","M099  0787","doorToDoor","undefined","undefined","undefined","undefined"
"W12R4","n/a","2-Bhuteswar","12-Radhe Shyam Colony","M004 UP14PT7951","doorToDoor","undefined","undefined","undefined","undefined"
"W49R4","n/a","1-City","49-Daimpiriyal Nagar","M045  UP85AG0890_C","doorToDoor","undefined","undefined","undefined","undefined"
"W32R3","n/a","3-Aurangabad","32-Ranchibagar","M234 UP85ET 7832","doorToDoor","undefined","undefined","undefined","undefined"
"W28R2","n/a","3-Aurangabad","28-Aurangabad Second","M081  UP85AG0893_C","doorToDoor","undefined","undefined","undefined","undefined"
"W9MR1","n/a","4-Vrindavan","09-Gandhi Nagar","MR025-70147186","doorToDoor","undefined","undefined","undefined","undefined"
"W2MR1","n/a","1-City","02-Ambedkar Nagar","MR029-70145446","doorToDoor","undefined","undefined","undefined","undefined"
"W18MR1","n/a","1-City","18-General ganj","MR003-70144647","doorToDoor","undefined","undefined","undefined","undefined"
"W51WBR1","n/a","4-Vrindavan","51-Gaushala Nagar","MR014-70147624","doorToDoor","undefined","undefined","undefined","undefined"
"W66WBR1","n/a","4-Vrindavan","66-Keshighat","MR006-70143904","doorToDoor","undefined","undefined","undefined","undefined"
"W50WBR1","n/a","4-Vrindavan","50-Patharpura","MR001-70143920","doorToDoor","undefined","undefined","undefined","undefined"
